criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,log2,2,32,128,random,0.648062549225885
gini,,log2,2,64,128,best,0.6542908947688125
gini,,log2,2,64,128,random,0.6397250493934595
gini,,log2,2,128,128,best,0.651617459045955
gini,,log2,2,128,128,random,0.6394791423880882
gini,,log2,2,256,128,best,0.6468790871221665
gini,,log2,2,256,128,random,0.6240145768442631
gini,,log2,4,1,128,best,0.649913989615779
gini,,log2,4,1,128,random,0.639824718346845
gini,,log2,4,2,128,best,0.649913989615779
gini,,log2,4,2,128,random,0.639824718346845
gini,,log2,4,4,128,best,0.649913989615779
gini,,log2,4,4,128,random,0.639824718346845
gini,,log2,4,8,128,best,0.649913989615779
gini,,log2,4,8,128,random,0.639824718346845
gini,,log2,4,16,128,best,0.6507593918232878
gini,,log2,4,16,128,random,0.6443844816548815
gini,,log2,4,32,128,best,0.6555529894460003
gini,,log2,4,32,128,random,0.6406406370079425
gini,,log2,4,64,128,best,0.6493968396328303
gini,,log2,4,64,128,random,0.6431791778896486
gini,,log2,4,128,128,best,0.6543424106967236
gini,,log2,4,128,128,random,0.6364056923620581
gini,,log2,4,256,128,best,0.642292453839158
gini,,log2,4,256,128,random,0.6288978611362454
gini,,log2,8,1,128,best,0.6481354150663828
gini,,log2,8,1,128,random,0.6376468870097599
gini,,log2,8,2,128,best,0.6481354150663828
gini,,log2,8,2,128,random,0.6376468870097599
gini,,log2,8,4,128,best,0.6481354150663828
gini,,log2,8,4,128,random,0.6376468870097599
gini,,log2,8,8,128,best,0.6481354150663828
gini,,log2,8,8,128,random,0.6376468870097599
gini,,log2,8,16,128,best,0.6481354150663828
gini,,log2,8,16,128,random,0.6376468870097599
gini,,log2,8,32,128,best,0.6431030214290663
gini,,log2,8,32,128,random,0.6351881945306072
gini,,log2,8,64,128,best,0.6459343060343214
gini,,log2,8,64,128,random,0.6344608624309558
gini,,log2,8,128,128,best,0.6493157135225599
gini,,log2,8,128,128,random,0.6351509165001303
gini,,log2,8,256,128,best,0.6458185363950072
gini,,log2,8,256,128,random,0.6215769322707495
gini,,log2,16,1,128,best,0.6387215554393438
gini,,log2,16,1,128,random,0.6208163027512655
gini,,log2,16,2,128,best,0.6387215554393438
gini,,log2,16,2,128,random,0.6208163027512655
gini,,log2,16,4,128,best,0.6387215554393438
gini,,log2,16,4,128,random,0.6208163027512655
gini,,log2,16,8,128,best,0.6387215554393438
gini,,log2,16,8,128,random,0.6208163027512655
gini,,log2,16,16,128,best,0.6387215554393438
gini,,log2,16,16,128,random,0.6208163027512655
gini,,log2,16,32,128,best,0.6387215554393438
gini,,log2,16,32,128,random,0.6208163027512655
gini,,log2,16,64,128,best,0.6402995840840591
gini,,log2,16,64,128,random,0.6213170461540993
gini,,log2,16,128,128,best,0.6439678297662652
gini,,log2,16,128,128,random,0.6253411257434366
gini,,log2,16,256,128,best,0.6409806604931764
gini,,log2,16,256,128,random,0.622069480891875
gini,,log2,32,1,128,best,0.6318244586387142
gini,,log2,32,1,128,random,0.6217211730368489
gini,,log2,32,2,128,best,0.6318244586387142
gini,,log2,32,2,128,random,0.6217211730368489
gini,,log2,32,4,128,best,0.6318244586387142
gini,,log2,32,4,128,random,0.6217211730368489
gini,,log2,32,8,128,best,0.6318244586387142
gini,,log2,32,8,128,random,0.6217211730368489
gini,,log2,32,16,128,best,0.6318244586387142
gini,,log2,32,16,128,random,0.6217211730368489
gini,,log2,32,32,128,best,0.6318244586387142
gini,,log2,32,32,128,random,0.6217211730368489
gini,,log2,32,64,128,best,0.6318244586387142
gini,,log2,32,64,128,random,0.6217211730368489
gini,,log2,32,128,128,best,0.6362985900279515
gini,,log2,32,128,128,random,0.618005683677196
gini,,log2,32,256,128,best,0.6363916089073515
gini,,log2,32,256,128,random,0.6030756297818449
gini,,log2,64,1,128,best,0.6223158956480289
gini,,log2,64,1,128,random,0.5919774422734304
gini,,log2,64,2,128,best,0.6223158956480289
gini,,log2,64,2,128,random,0.5919774422734304
gini,,log2,64,4,128,best,0.6223158956480289
gini,,log2,64,4,128,random,0.5919774422734304
gini,,log2,64,8,128,best,0.6223158956480289
gini,,log2,64,8,128,random,0.5919774422734304
gini,,log2,64,16,128,best,0.6223158956480289
gini,,log2,64,16,128,random,0.5919774422734304
gini,,log2,64,32,128,best,0.6223158956480289
gini,,log2,64,32,128,random,0.5919774422734304
gini,,log2,64,64,128,best,0.6223158956480289
gini,,log2,64,64,128,random,0.5919774422734304
gini,,log2,64,128,128,best,0.6223158956480289
gini,,log2,64,128,128,random,0.5919774422734304
gini,,log2,64,256,128,best,0.6221372773417463
gini,,log2,64,256,128,random,0.5832193344743809
gini,,log2,128,1,128,best,0.615348225716288
gini,,log2,128,1,128,random,0.5695460663942317
gini,,log2,128,2,128,best,0.615348225716288
gini,,log2,128,2,128,random,0.5695460663942317
gini,,log2,128,4,128,best,0.615348225716288
gini,,log2,128,4,128,random,0.5695460663942317
gini,,log2,128,8,128,best,0.615348225716288
gini,,log2,128,8,128,random,0.5695460663942317
gini,,log2,128,16,128,best,0.615348225716288
gini,,log2,128,16,128,random,0.5695460663942317
gini,,log2,128,32,128,best,0.615348225716288
gini,,log2,128,32,128,random,0.5695460663942317
gini,,log2,128,64,128,best,0.615348225716288
gini,,log2,128,64,128,random,0.5695460663942317
gini,,log2,128,128,128,best,0.615348225716288
gini,,log2,128,128,128,random,0.5695460663942317
gini,,log2,128,256,128,best,0.615348225716288
gini,,log2,128,256,128,random,0.5695460663942317
gini,,log2,256,1,128,best,0.5854638605775955
gini,,log2,256,1,128,random,0.5356057734518195
gini,,log2,256,2,128,best,0.5854638605775955
gini,,log2,256,2,128,random,0.5356057734518195
gini,,log2,256,4,128,best,0.5854638605775955
gini,,log2,256,4,128,random,0.5356057734518195
gini,,log2,256,8,128,best,0.5854638605775955
gini,,log2,256,8,128,random,0.5356057734518195
gini,,log2,256,16,128,best,0.5854638605775955
gini,,log2,256,16,128,random,0.5356057734518195
gini,,log2,256,32,128,best,0.5854638605775955
gini,,log2,256,32,128,random,0.5356057734518195
gini,,log2,256,64,128,best,0.5854638605775955
gini,,log2,256,64,128,random,0.5356057734518195
gini,,log2,256,128,128,best,0.5854638605775955
gini,,log2,256,128,128,random,0.5356057734518195
gini,,log2,256,256,128,best,0.5854638605775955
gini,,log2,256,256,128,random,0.5356057734518195
gini,12,sqrt,1,1,128,best,0.6336166873319192
gini,12,sqrt,1,1,128,random,0.6284238721469005
gini,12,sqrt,1,2,128,best,0.6336166873319192
gini,12,sqrt,1,2,128,random,0.6284238721469005
gini,12,sqrt,1,4,128,best,0.6302375260149589
gini,12,sqrt,1,4,128,random,0.6408874025928201
gini,12,sqrt,1,8,128,best,0.6418180480899274
gini,12,sqrt,1,8,128,random,0.6359279423341293
gini,12,sqrt,1,16,128,best,0.6292907220514821
gini,12,sqrt,1,16,128,random,0.6126800541541688
gini,12,sqrt,1,32,128,best,0.6371115239991142
gini,12,sqrt,1,32,128,random,0.6414283903031497
gini,12,sqrt,1,64,128,best,0.6319434149466648
gini,12,sqrt,1,64,128,random,0.6358779633909338
gini,12,sqrt,1,128,128,best,0.6241665085785991
gini,12,sqrt,1,128,128,random,0.6322131555207307
gini,12,sqrt,1,256,128,best,0.6388267985770041
gini,12,sqrt,1,256,128,random,0.6148621473764518
gini,12,sqrt,2,1,128,best,0.6383365493725994
gini,12,sqrt,2,1,128,random,0.6183547326589679
gini,12,sqrt,2,2,128,best,0.6383365493725994
gini,12,sqrt,2,2,128,random,0.6183547326589679
gini,12,sqrt,2,4,128,best,0.6383365493725994
gini,12,sqrt,2,4,128,random,0.6183547326589679
gini,12,sqrt,2,8,128,best,0.6363048661480256
gini,12,sqrt,2,8,128,random,0.6338884152334763
gini,12,sqrt,2,16,128,best,0.6352185391503055
gini,12,sqrt,2,16,128,random,0.6104729918373757
gini,12,sqrt,2,32,128,best,0.636923360711683
gini,12,sqrt,2,32,128,random,0.6332848648688422
gini,12,sqrt,2,64,128,best,0.6206347257674845
gini,12,sqrt,2,64,128,random,0.6396184478624062
gini,12,sqrt,2,128,128,best,0.6309152121760735
gini,12,sqrt,2,128,128,random,0.6433099955247931
gini,12,sqrt,2,256,128,best,0.623503030398793
gini,12,sqrt,2,256,128,random,0.6104748833050412
gini,12,sqrt,4,1,128,best,0.6401711185806699
gini,12,sqrt,4,1,128,random,0.6367504438926548
gini,12,sqrt,4,2,128,best,0.6401711185806699
gini,12,sqrt,4,2,128,random,0.6367504438926548
gini,12,sqrt,4,4,128,best,0.6401711185806699
gini,12,sqrt,4,4,128,random,0.6367504438926548
gini,12,sqrt,4,8,128,best,0.6401711185806699
gini,12,sqrt,4,8,128,random,0.6367504438926548
gini,12,sqrt,4,16,128,best,0.6193762789578424
